URL,Email,Location,SourceFile
https://weillcornell.org/news/finding-support-after-a-breast-cancer-diagnosis,cal9064@nyp.org,new york USA,new_york_usa_breast_cancer_support_groups.csv
https://mbcn.org/in-person-support-groups-for-metastatic-breat-cancer/,MBG1045@verizon.net,new york USA,new_york_usa_breast_cancer_support_groups.csv
https://meyercancer.weill.cornell.edu/patient-care/support-services/support-services,info@ustoonewyork.org,new york USA,new_york_usa_breast_cancer_support_groups.csv
https://www.nbcancerresource.org/support-groups,info@ocawareness.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.bidmc.org/centers-and-departments/social-work/clinical-services/hematology-and-oncology/support-groups,jlabell1@bidmc.harvard.edu,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.bmc.org/cancer-center/support/support-groups,cancersupport@bmc.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.nwh.org/mass-general-cancer-center/cancer-patient-resources/support-groups,mgccnwhsupportgroups@partners.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://massachusettsasco.wildapricot.org/patient-support-programs/,jtaylor@cancersupportcommunity.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.massgeneral.org/cancer-center/patient-and-family-resources/patient-education/workshops-and-support-groups,wlcpforum@partners.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.cancercare.org/diagnosis/breast_cancer,info@cancercare.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.dana-farber.org/patient-family/support-services/support-groups-seminars,bereavement_program@dfci.harvard.edu,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.dana-farber.org/cancer-care/treatment/breast-oncology/programs/metastatic-breast-cancer/support-education,rgermano@partners.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.openspiritcenter.org/facing-cancer-together,gaulinnancy@gmail.com,boston USA,boston_usa_breast_cancer_support_groups.csv
http://www.dfhcc.harvard.edu/research/research-programs/clinical-based-programs/breast-cancer/dana-farberharvard-cancer-center-breast-cancer-advocates,susan_koegel@dfci.harvard.edu,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.survivingbreastcancer.org/post/wellness-warriors,info@survivingbreastcancer.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.brighamandwomens.org/about-bwh/community-health-equity/connecting-hope-assistance-and-treatment-chat-program,bwhstrongergenerations@partners.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.cancersupportcommunity.org/find-location-near-you,partners@cancersupportcommunity.org,boston USA,boston_usa_breast_cancer_support_groups.csv
https://www.va.gov/washington-dc-health-care/events/76974,Sarah.Banks@va.gov,washington USA,washington_usa_breast_cancer_support_groups.csv
https://smithcenter.org/,programs@smithcenter.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.nwmedicalspecialties.com/support-groups/,mae.kessler@providence.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://cancerlifeline.org/services/support-groups/,info@cancerlifeline.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.fredhutch.org/en/patient-care/services/support-groups.html,anita@colonstars.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.ohsu.edu/sites/default/files/2023-03/PLP%20Community%20Resources%20Sheet.pdf,programs@pinklemonadeproject.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.facebook.com/CancerSupportCommunity/,help@cancersupportcommunity.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.cancercarenorthwest.com/zoom-support-groups/,paula.mckee@ccnw.net,washington USA,washington_usa_breast_cancer_support_groups.csv
https://cancercenter.gwu.edu/patients/patient-caregiver-support,jgelfarb@mfa.gwu.edu,washington USA,washington_usa_breast_cancer_support_groups.csv
https://healthy.kaiserpermanente.org/washington/health-wellness/classes-programs/details/breast-cancer-education-and-connection-group-one,sandi2k@gmail.com,washington USA,washington_usa_breast_cancer_support_groups.csv
https://hersbreastcancerfoundation.org/,info@hersbreastcancerfoundation.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.providence.org/locations/wa/regional-cancer-system-lacey/patient-resources-and-support/support-and-education,ProvidenceSWFoundation@providence.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://canceradvocacy.org/home/,info@canceradvocacy.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://cancerpathways.org/,margaret@cancerpathways.org,washington USA,washington_usa_breast_cancer_support_groups.csv
https://www.cancercare.org/contact/new_jersey,dsaff@cancercare.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://secure.acsevents.org/site/STR?pg=entry&fr_id=110810,danielle.buckler@cancer.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://cinj.org/patient-care/support-and-education-groups-patients-and-community,accessibility@rutgers.edu,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.uhnj.org/university-hospital-announces-new-partner-for-mobile-mammography-unit/,media@uhnj.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.komen.org/community/new-jersey/,njvolunteer@komen.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.sistersnetworkinc.org/,infonet@sistersnetworkinc.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.hackensackmeridianhealth.org/en/about-us/support-groups,Elizabeth.Martinez@hmhn.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.sistersnetworkinc.org/chapters/,infonet@sistersnetwork.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.northwell.edu/support-and-resources/support-groups,nsuhcaregivercenter@northwell.edu,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://lickingcohealth.org/sass-program/,sass@lickingcohealth.org,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://njms.rutgers.edu/departments/radiation_oncology/patient_resources.php,njmsmarketing@njms.rutgers.edu,Newark USA,newark_usa_breast_cancer_support_groups.csv
https://www.cancersupportteam.org/page/events.html,jmeade@cancersupportteam.org,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://milesofhope.org/resources/,Amanda.Miller1@nuvancehealth.org,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://www.cscatlanta.org/support/,supportgroups@cscatlanta.org,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://www.newrorad.com/,info@newrorad.com,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://hollingscancercenter.musc.edu/patient-care/cancer-types/breast-cancer,kepecs@musc.edu,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://nocc.ovarian.org/northeast-rejuvenate-2025?hsLang=en,staylor@ovarian.org,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://www.renewinghealth.org/,operations@renewinghealth.org,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://www.bcrf.org/majordonors/,bcrf@bcrf.org,New Rochelle USA,new_rochelle_usa_breast_cancer_support_groups.csv
https://www.mysistermyfriendbcs.com/,info@mysistermyfriendbcs.net,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
https://www.longbeachgives.org/organization/My-Sister-My-Friend-Breast-Cancer-Support,hello@mysistermyfriendbcs.com,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
https://interior-west.prototype-pathwaysbc.ca/programs/4953,hello@rethinkbreastcancer.com,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
https://www.saintjohnscancer.org/breast/breast-cancer/treatment/wellness/,Breast@providence.org,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
https://cancer.uci.edu/community/orange-county-cancer-coalition-oc3,myocthree@gmail.com,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
https://welcomebaby.labestbabies.org/ongoing-support-groups-meetings-classes/,info@labestbabies.org,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
https://dhs.lacounty.gov/making-strides-against-breast-cancer/,DMckell@dhs.lacounty.gov,Long Beach USA,long_beach_usa_breast_cancer_support_groups.csv
